"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blueblue","bluelow","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"","","","","","",NA,"G1",0,NA,NA,NA,NA,"G",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G2",0,0.1276,0.113,464,17,"G",2,0.0238875,0.607201390705418,0.0393403249163323,-0.624752698920247,0.977430131681781,-0.639178882121516,24009648.6131993,-7049020492.63544
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G3",0,0.1238,0.1106,468,17,"G",3,0.0214875,0.607201390705418,0.0353877647991498,2.62239019260596,0.97890434281384,2.67890342080612,21597376.22506,29543599826.6656
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G4",0,0.1268,0.1127,471,17,"G",4,0.0235875,0.607201390705418,0.0388462549016845,6.28115278120691,0.977613949754593,6.42498276828358,23708114.5646819,70856275864.6496
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G5",0,0.1275,0.1129,472,17,"G",5,0.0237875,0.607201390705418,0.0391756349114497,7.3438830273613,0.977491389858146,7.51298999004692,23909137.2636935,82855084675.2434
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G6",0,0.1225,0.1103,475,18,"G",6,0.0211875,0.607201390705418,0.034893694784502,9.528272138001,0.979089209964798,9.73177116142826,21295842.1765425,107324344194.314
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G7",0,0.1169,0.1045,471,17,"G",7,0.0153875,0.607201390705418,0.0253416745013109,3.70859931917948,0.982689344782661,3.77392849415672,15466183.9052058,41619803214.9536
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G8",0,0.1299,0.1157,480,18,"G",8,0.0265875,0.607201390705418,0.0437869550481626,16.2217567768571,0.975781630147141,16.6243719656938,26723455.049856,183337625727.583
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G9",0,0.1227,0.1084,475,17,"G",9,0.0192875,0.607201390705418,0.0317645846917325,8.93217527323145,0.980263098690403,9.11201827872999,19386126.5359322,100489558357.82
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G10",0,0.1223,0.1112,478,18,"G",10,0.0220875,0.607201390705418,0.0363759048284454,12.8106214493137,0.978535003098943,13.0916333179124,22200444.3220948,144377722921.217
"M9","none","none","none","none","none",200,"G11",0,0.0921,0.0845,474,18,"G",11,-0.00461249999999999,0.607201390705418,-0.00759632647521015,0.433850836861609,0.995494058992075,0.435814591702212,-4636085.99595527,4806269533.97124
"","","","","","",NA,"G12",0,NA,NA,NA,NA,"G",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"H1",0,NA,NA,NA,NA,"H",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H2",0,0.1305,0.1172,479,18,"H",2,0.0280875,0.607201390705418,0.0462573051214017,15.691580265936,0.974870333100347,16.0960691213493,28231125.2924431,177511373202.247
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H3",0,0.1217,0.1084,468,17,"H",3,0.0192875,0.607201390705418,0.0317645846917325,1.93217527323145,0.980263098690403,1.97107825012771,19386126.5359322,21737531333.3597
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H4",0,0.1311,0.1185,478,18,"H",4,0.0293875,0.607201390705418,0.0483982751848756,15.0982930570324,0.974083148681153,15.5000043656176,29537772.8360186,170937825803.209
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H5",0,0.1271,0.1122,467,17,"H",5,0.0230875,0.607201390705418,0.0380228048772715,2.12431848670974,0.977920603714823,2.1722811429068,23205557.8171529,23956445872.0719
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H6",0,0.1249,0.1105,467,17,"H",6,0.0213875,0.607201390705418,0.0352230747942672,1.59101765363397,0.978965950572367,1.62520223783448,21496864.8755542,17923126372.9302
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H7",0,0.1244,0.1102,469,17,"H",7,0.0210875,0.607201390705418,0.0347290047796194,3.49689919033301,0.97915086160796,3.57135894727234,21195330.8270367,39385816881.6874
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H8",0,0.1236,0.1097,478,18,"H",8,0.0205875,0.607201390705418,0.0339055547552064,12.3400330090053,0.979459339478586,12.5988211165299,20692774.0795077,138942869856.241
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H9",0,0.1235,0.109,474,18,"H",9,0.0198875,0.607201390705418,0.0327527247210281,8.12041771765399,0.97989182437551,8.2870552806471,19989194.6329671,91391665355.0806
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H10",0,0.1346,0.1188,473,17,"H",10,0.0296875,0.607201390705418,0.0488923451995234,10.1920690202005,0.973901833317205,10.4651913278419,29839306.884536,115412680538.597
"M9","none","none","none","none","none",200,"H11",0,0.097,0.092,475,17,"H",11,0.0028875,0.607201390705418,0.00475542389098523,3.78688151773127,0.990619958841223,3.82273896657703,2902265.21698014,42158097000.8871
"","","","","","",NA,"H12",0,NA,NA,NA,NA,"H",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"A1",10,NA,NA,NA,NA,"A",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361","ara","0","0",200,"A2",10,0.1298,0.1155,460,16,"A",2,0.0268625,0.607201390705418,0.0442398525615898,-3.69207550643978,0.975614317168945,-3.78435970184766,26999861.260997,-41734841115.6619
"M9","DH10B","pS361","ara","0","0",200,"A3",10,0.1318,0.1142,460,16,"A",3,0.0255625,0.607201390705418,0.042098882498116,-4.09951232426215,0.976406210430928,-4.19857256177515,25693213.7174215,-46302881486.8501
"M9","DH10B","pS361","ara","0","0",200,"A4",10,0.1351,0.1183,470,17,"A",4,0.0296625,0.607201390705418,0.0488511726983028,7.18425566558847,0.973916938032235,7.37666158687413,29814179.0471596,81351621819.1121
"M9","DH10B","pS361","ara","10","0.3",200,"A5",10,0.1244,0.1097,468,16,"A",5,0.0210625,0.607201390705418,0.0346878322783987,2.48905593609493,0.979166276805675,2.54201558515164,21170202.9896603,28033967412.7813
"M9","DH10B","pS361","ara","10","0.3",200,"A6",10,0.1293,0.1138,462,16,"A",6,0.0251625,0.607201390705418,0.0414401224785855,-2.22492030337679,0.976650360119285,-2.27811343161236,25291168.3193983,-25123590145.3494
"M9","DH10B","pS361","ara","10","0.3",200,"A7",10,0.1297,0.1151,462,16,"A",7,0.0264625,0.607201390705418,0.0435810925420594,-1.81741445656934,0.975857717458702,-1.86237647564257,26597815.8629738,-20538741671.5542
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A8",10,0.1287,0.1138,459,16,"A",8,0.0251625,0.607201390705418,0.0414401224785855,-5.22492030337679,0.976650360119285,-5.34983707243873,25291168.3193983,-58999307096.4945
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A9",10,0.1216,0.1078,459,16,"A",9,0.0191625,0.607201390705418,0.0315587221856292,-7.10704190478293,0.98034051417784,-7.24956461759946,19260487.34905,-79949965465.8931
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A10",10,0.1256,0.1113,459,16,"A",10,0.0226625,0.607201390705418,0.0373228723565204,-6.00899874201798,0.978181545462118,-6.14303016642905,22778384.5817532,-67746833853.9441
"M9","none","none","none","none","none",200,"A11",10,0.095,0.0894,463,16,"A",11,0.000762499999999999,0.607201390705418,0.00125576128722986,-8.87981050851556,0.991992003087246,-8.95149404519401,766399.039981766,-98719257987.4387
"","","","","","",NA,"A12",10,NA,NA,NA,NA,"A",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"B1",10,NA,NA,NA,NA,"B",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B2",10,0.1281,0.1143,468,16,"B",2,0.0256625,0.607201390705418,0.0422635725029986,3.93183695338075,0.976345209100132,4.02709709305032,25793725.0669274,44411808225.7723
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B3",10,0.1259,0.1129,468,16,"B",3,0.0242625,0.607201390705418,0.0399579124346421,3.49285774951585,0.977200542699002,3.57435101281122,24386566.1738461,39418814109.6759
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B4",10,0.1264,0.1127,463,16,"B",4,0.0240625,0.607201390705418,0.0396285324248769,-1.56986668413003,0.977322964781372,-1.60629263887318,24185543.4748345,-17714586706.9399
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B5",10,0.1262,0.1117,464,17,"B",5,0.0230625,0.607201390705418,0.0379816323760508,-0.883523514968658,0.977935945953333,-0.903457448951181,23180429.9797764,-9963548937.57313
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B6",10,0.1278,0.114,465,16,"B",6,0.0253625,0.607201390705418,0.0417695024883508,0.837785784171103,0.976528256392964,0.857922726440771,25492191.0184099,9461380920.01129
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B7",10,0.1234,0.1106,462,16,"B",7,0.0219625,0.607201390705418,0.0361700423223422,-3.22859275110505,0.978611905522025,-3.29915539846494,22074805.1352125,-36383889804.0236
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B8",10,0.1279,0.1139,466,16,"B",8,0.0252625,0.607201390705418,0.0416048124834681,1.80643324613629,0.976589301033311,1.84973687938721,25391679.6689041,20399349123.5293
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B9",10,0.1308,0.1165,467,17,"B",9,0.0278625,0.607201390705418,0.0458867526104159,3.62113836812046,0.975006821917071,3.71396208387601,28004974.7560551,40958479027.3717
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B10",10,0.1225,0.1083,463,17,"B",10,0.0196625,0.607201390705418,0.0323821722100422,-2.95017319272495,0.9800309902026,-3.01028561567738,19763044.096579,-33198163436.134
"M9","none","none","none","none","none",200,"B11",10,0.091,0.0866,465,17,"B",11,-0.0020375,0.607201390705418,-0.00335555884948308,-7.75827529603993,0.993810649822291,-7.80659303402236,-2047918.74618079,-86093010601.1026
"","","","","","",NA,"B12",10,NA,NA,NA,NA,"B",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"C1",10,NA,NA,NA,NA,"C",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C2",10,0.123,0.1085,461,16,"C",2,0.0198625,0.607201390705418,0.0327115522198075,-4.88742571463257,0.979907283570915,-4.98764097029887,19964066.7955906,-55004920207.7062
